price,beta,volAvg,mktCap,lastDiv,range,changes,changesPercentage,companyName
170.23,1.231028,22427004,1.29477784E12,1.84,102.77-174.05,-2.55,(-1.48%),Microsoft Corporation
309.51,1.228499,28544181,1.35425478E12,2.92,167.28-327.85,-14.36,(-4.43%),Apple Inc.
201.91,1.062394,14100598,5.7579681E11,0,159.28-224.2,-7.62,(-3.64%),Facebook Inc.
236.43,2.037942,8076465,1.44695149E11,0.64,132.6-259.5,-9.38,(-3.82%),NVIDIA Corporation
6.02,0.290893,14586385,5.6944502E9,0,4.33-6.92,-0.06,(-0.99%),Zynga Inc.
2008.72,1.516863,3313468,9.959173E11,0,1566.76-2055.72,138.04,(+7.38%),Amazon.com Inc.
96.3,0.825463,5838713,1.49974729E11,0.88,77.07-105.62,-1.89,(-1.92%),Nike Inc.
